countrycode,country,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
ALB,Albania,1990,0.02026608172019317,0.0018406268111567947,0.15199893107679904,0.08857567960528451,0.47520109992736764,0.09365933135976215,0.3176628695539181,0.018862641162292075,0.9545924152879963,0.15823739606102905,0.021367863366777085,0.46687018420644344,0.04046259237632727,0.9954734560519906,0.023282477601499697,0.040797651061561066,0.035777687184614854,0.2340660456423065,0.026795378324961504,0.09372976842048766,0.04505039235464514,0.012635746958622058,0.9957335180343496,0.4282954706970101,0.0086164727426353,0.051255361495750315
ALB,Albania,1991,0.020158454178047534,0.001765394323738474,0.14676883520126693,0.12218080675525561,0.484793181804175,0.08735440725717586,0.3304911557079978,0.01810563878949397,0.9477531460341406,0.15769100340739522,0.020529095388901474,0.4509515264277514,0.03559690472923202,0.9938621164196069,0.023786246253381528,0.042038838865795555,0.03584091892244987,0.2587705847302989,0.03053839030703591,0.09701071004762704,0.038567087996366003,0.017592599252988263,0.9957289537993458,0.42942058526639426,0.012412184193110206,0.04240969228972757
ALB,Albania,1992,0.02000977872588056,0.0017372421313320077,0.1406394381557602,0.16728868126799903,0.48755598709406484,0.08757975232381088,0.33926264008758983,0.01665020257484811,0.9428136435264974,0.16412195300953414,0.020431499734378765,0.4341571306682696,0.030689201941083613,0.990899475223376,0.02475675984900437,0.04429620420052617,0.036416749226428555,0.2728224222281155,0.0320098417837749,0.10241071110098235,0.03168323744572442,0.02415654383362261,0.9945716859882329,0.4308500662205432,0.017598377509547822,0.036868580524704014
ALB,Albania,1993,0.019827776728391176,0.001776615965940673,0.13427028005001984,0.2215607163166321,0.4792232282312187,0.0951055335639597,0.3486720153338416,0.014622028333711696,0.9409166317809582,0.17909071045611086,0.021353913845144897,0.41907129415166755,0.026408105963321722,0.9862234602357474,0.026156222742823157,0.04793768293627864,0.03691662982912314,0.26935107729616026,0.030129587477639982,0.11033428380932694,0.02611722109460974,0.03221747899205785,0.9911965720837874,0.43239972139442695,0.024219043690622943,0.037570933079290006
ALB,Albania,1994,0.019638012074673222,0.0018813912027766072,0.12855189594246705,0.27989489745163865,0.4593424745546932,0.10761831204096119,0.3697052355288707,0.012501534927543467,0.94169905313285,0.19876047701420993,0.023223807772379305,0.4073609697683979,0.02328761210753809,0.9798894146271983,0.027685410558881778,0.053085264206106784,0.036797750997504805,0.24943005137505175,0.02532816133621264,0.12046188537803923,0.02447642432484366,0.04121742375527969,0.984333730880236,0.4337744522993087,0.03202832724677104,0.0459823758981499
ALB,Albania,1995,0.019475487333910302,0.002025099153561802,0.12413592075834995,0.33709286375218195,0.43170935419167406,0.1213499456623893,0.41365573552771784,0.010940955988498412,0.9432502415382636,0.21589065728580142,0.02560244748724664,0.39864140593571934,0.021517437064746486,0.9722774353158519,0.029088671977724554,0.05952405960647823,0.03629463838056271,0.2232010327712158,0.019500644929844962,0.131600237945531,0.02921069498091902,0.05036931391605961,0.9730228176355524,0.4347467592781865,0.04060437143963344,0.060889194678526826
ALB,Albania,1996,0.019366556352243484,0.0021809272358238024,0.12117526387914149,0.3891732461352147,0.4011742381709751,0.13494891568369233,0.48058873954279935,0.010468254767879789,0.9434126186171956,0.22708179730927253,0.028057552728579654,0.39154271325120693,0.02111112550703012,0.9634990027119873,0.03076324964830024,0.06691246792649048,0.03664571069841822,0.2023485177257153,0.014511644365429722,0.1421010831840417,0.041274787052948625,0.05911287971061202,0.9571141733839921,0.4353025238012794,0.049587664561649876,0.07949030005443557
ALB,Albania,1997,0.019316821148452075,0.002346116297274384,0.11953313174829719,0.432084123830496,0.37144416705580297,0.1514392460058285,0.5533945992878918,0.011282364001077367,0.9409355671812829,0.23630825398663946,0.030537668714491123,0.38553858944207303,0.022131510351016674,0.9529712307182483,0.03399182118199541,0.07505476760176337,0.0393909306781831,0.19253435281909806,0.011042354558329612,0.15055498789695024,0.0597827597371163,0.06742034287493534,0.9372318473438852,0.4355906465919611,0.05883467720422153,0.09957066283146246
ALB,Albania,1998,0.01931259368986013,0.0025372607593550957,0.11908486516973489,0.4617500307013792,0.34576053787612804,0.17604545686091705,0.606460011349878,0.013140794789251583,0.9356449240035052,0.24959725389443077,0.033307214619178266,0.38125953738594753,0.02455842950225813,0.9397987153883428,0.040359629656583955,0.08388008932748359,0.04523395471620888,0.193113517551047,0.008859286231981837,0.15630698015732974,0.08294657566241662,0.0757718739544225,0.9141602699169993,0.43576053369174494,0.06844374246705462,0.12025170806998965
ALB,Albania,1999,0.019330542984322453,0.0027654611295226173,0.11972808428446213,0.4763871418538864,0.32723265997954903,0.2120261961164499,0.6230225974070176,0.015478007838590043,0.9281065305049657,0.26771543647841994,0.03657364674972749,0.37953677379125056,0.0280340496347812,0.9236267251706521,0.05077124965427962,0.09320326362298162,0.05336053572503974,0.20077181974285213,0.007555893171117702,0.15953768745757335,0.10928732644269304,0.08491527693068215,0.8882376145210007,0.43586718828792664,0.07872873155177479,0.1412138818097763
