countrycode,country,year,pop,avh,hc,rgdpna,labsh,irr,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,inflation,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi,immigration
ALB,Albania,1990,3.286073,,2.5161588191986084,15105.7080078125,,,0.0291608776897192,7.562970081099616,0.8569525480270386,0.10605493187904358,0.14950139820575714,0.04201079532504082,-0.03951847553253174,-0.11500116437673569,4596.887533482214,40.29363322870854,1.84084061606394,,,,-0.43136881309892794,61.7303389182164,5.49497835258072,32.7746827292029,,36.428000000000004,0.65,
ALB,Albania,1991,3.280395,,2.515733242034912,10875.7861328125,,,0.028644034639000893,9.913646890280349,0.8306472301483154,0.024767950177192688,0.25114744901657104,0.048234909772872925,-0.09837215393781662,-0.056425366550683975,3315.3891933174204,40.16170865776832,1.25811576501704,57.9099998474121,11.5799999237061,30.510000228881804,35.514246957839106,61.4569891735599,5.64877095593671,32.8942398705034,16.22,36.7,0.631,
ALB,Albania,1992,3.245886,,2.515307903289795,10094.130859375,,,0.02782866731286049,32.275395949523606,1.1498521566390991,0.019640913233160973,0.25217533111572266,0.053267791867256165,-0.24280107021331787,-0.23213517665863037,3109.822975722191,32.42621981636924,0.689859284104687,58.1100006103516,11.4499998092651,30.440000534057603,232.984658871868,61.2324955343472,5.827499795125281,32.9400046705276,16.33,37.249,0.615,
ALB,Albania,1993,3.1951989999999997,,2.5148825645446777,11059.0703125,,,0.027229048311710358,71.14409735173915,0.9936733245849609,0.05490902438759804,0.19697028398513794,0.03555483743548393,-0.1722632646560669,-0.10884416103363037,3461.1522826903742,31.03572964230156,0.641405614065312,57.619998931884794,11.630000114440902,30.75,125.65081420042401,61.071313555118195,6.02591575673378,32.9027706881481,16.52,37.799,0.618,
ALB,Albania,1994,3.146519,,2.5144572257995605,11977.291015625,,,0.02696826681494713,94.62333333333333,0.859124481678009,0.07742419093847275,0.20864857733249664,0.02866685763001442,-0.1110534742474556,-0.06281061470508575,3806.521116073032,33.97020291578923,0.667178793940271,57.08000183105471,11.789999961853,31.1299991607666,35.8424752156681,60.946906724542295,6.23059959275631,32.8224936827014,16.57,38.354,0.624,
ALB,Albania,1995,3.112936,,2.5140318870544434,13572.9453125,,,0.026813363656401634,92.69749999999999,0.8370290398597717,0.07683323323726654,0.207663431763649,0.0347440280020237,-0.13372854888439178,-0.02254117652773857,4360.17486787393,32.78144024752293,0.6117102037026351,56.3600006103516,12.029999732971199,31.6100006103516,9.97066268022495,60.8253108962086,6.43248046217462,32.742208641616806,16.57,38.911,0.637,
ALB,Albania,1996,3.0987,,2.5811893939971924,14808.318359375,,,0.026778385043144226,104.49891666666667,0.8607513308525085,0.09070277214050293,0.21687643229961395,0.03100316785275936,-0.14706958830356598,-0.052264146506786346,4778.880936965502,31.6896142989448,0.6218369568751341,55.939998626709006,11.729999542236301,32.3400001525879,38.1721119122412,61.2176073837416,6.56378481298609,32.2186078032723,16.57,39.473,0.646,
ALB,Albania,1997,3.099752,,2.6345043182373047,13203.4150390625,,,0.026682406663894653,148.93291666666667,0.7537410259246826,0.07147981226444244,0.3686225414276123,0.022520629689097404,-0.10975661128759384,-0.10660737007856369,4259.50690218524,31.24726418604703,0.47009780893128705,56.060001373290994,11.630000114440902,32.310001373291,11.2396818167848,61.56705439660979,6.682599124058959,31.7503464793312,16.55,40.035,0.645,
ALB,Albania,1998,3.1106819999999997,,2.688920259475708,14369.1904296875,,,0.02653208188712597,150.63333333333333,0.6897594928741455,0.08063554763793945,0.43466758728027344,0.0335969477891922,-0.14639385044574738,-0.09226569533348083,4619.305486606314,30.730945018382776,0.575350084544499,55.25,11.720000267028801,33.0400009155273,6.7302451555605805,61.8880039811205,6.79748042390704,31.314515594972402,16.55,40.601,0.655,
ALB,Albania,1999,3.122697,,2.744460105895996,16221.4814453125,,,0.026610126718878746,137.69058333333334,0.6592446565628052,0.10227442532777786,0.38195502758026123,0.053523726761341095,-0.18908126652240753,-0.007916554808616638,5194.70235034411,30.40530964237979,0.9553593083841949,54.029998779296896,12.1700000762939,33.7999992370605,2.10347859903513,62.22271965547729,6.92084438547832,30.8564359590444,16.62,41.169,0.665,
ALB,Albania,2000,3.1292429999999998,,2.8011474609375,17348.265625,,,0.026791879907250404,143.70941666666667,0.6679871082305908,0.1483617126941681,0.3300253450870514,0.038922738283872604,-0.17936980724334717,-0.005927115213125944,5543.917690316795,30.773175984962354,1.026213108529,52.8199996948242,12.8100004196167,34.3699989318848,5.6437820728261,62.608145164820996,7.058160711712071,30.3336941234669,16.58,41.74100000000001,0.671,
ALB,Albania,2001,3.129704,,2.815089702606201,18787.0078125,,,0.027009345591068268,143.48483333333334,0.6617808938026428,0.18924924731254578,0.31889358162879944,0.04455115646123886,-0.22002559900283813,0.005550722125917673,6002.806595288245,31.350768977315624,1.0522280929869001,51.310001373290994,13.6700000762939,35.0200004577637,3.81393291822263,63.0173652204809,7.31458949472538,29.668045284793703,16.54,42.435,0.678,
ALB,Albania,2002,3.126187,,2.8291015625,19639.29296875,,,0.027103813365101814,140.15451587500002,0.6860929727554321,0.2126343846321106,0.3011050522327423,0.045323822647333145,-0.24029722809791565,-0.004858951084315777,6282.187523890926,31.639480854148026,1.22910118288698,50.1599998474121,14.460000038147,35.3800010681152,3.64414991674873,63.4747697434606,7.59225215893995,28.932978097599396,16.61,43.501000000000005,0.684,
ALB,Albania,2003,3.118023,,2.8431832790374756,20725.078125,,,0.027135523036122322,121.86325,0.7153279781341553,0.2343156337738037,0.2711554765701294,0.0533423013985157,-0.2557216286659241,-0.018419722095131874,6646.865056800415,32.14285029683164,1.35214448140818,49.2700004577637,14.8100004196167,35.9199981689453,5.19710539886991,63.9726839731458,7.88714515576056,28.140170871093602,16.61,44.573,0.691,
ALB,Albania,2004,3.104892,,2.857334852218628,21868.0234375,,,0.027177022770047188,102.78005119617225,0.7135186791419983,0.2747897505760193,0.2600712776184082,0.06532780826091766,-0.28811779618263245,-0.0255897156894207,7043.086663722925,32.57100740855973,1.41727335767255,48.3400001525879,15.229999542236301,36.430000305175795,3.15694393888282,64.4856246207598,8.19117057855797,27.3232048006823,16.52,45.651,0.696,
ALB,Albania,2005,3.08681,,2.8715567588806152,23076.5546875,,,0.02712784893810749,99.87025448089923,0.7170723080635071,0.30305325984954834,0.2318926900625229,0.06768310815095901,-0.3036688268184662,-0.01603257842361927,7475.858471204901,32.82947855351856,1.35149180454706,47.380001068115206,15.7600002288818,36.8499984741211,3.30349111296087,64.9983964027588,8.50071756927054,26.5008860279706,16.4,46.731,0.706,
ALB,Albania,2006,3.063021,,2.8780317306518555,24438.66796875,,,0.02684878557920456,98.10337709126985,0.6982441544532776,0.33468884229660034,0.21369874477386475,0.07271077483892441,-0.3117183446884155,-0.007624228484928608,7978.615872613997,33.13907572053868,1.35336220283257,46.2999992370605,16.479999542236303,37.220001220703104,2.4806657387964197,65.5224041885446,8.90555435303904,25.5720414584164,16.17,47.815,0.713,
ALB,Albania,2007,3.033998,,2.884521484375,25900.890625,,,0.026636619120836258,90.42789383107079,0.7365826964378357,0.3293398320674896,0.21017442643642426,0.08397005498409271,-0.3662811517715454,0.006214085500687361,8536.884541453224,33.43678970501321,1.42086728796502,45.5499992370605,16.9500007629395,37.5,4.389899683612669,65.9611838900355,9.3216607262101,24.717155383754395,15.97,48.902,0.722,
ALB,Albania,2008,3.002678,,2.8910255432128906,27843.482421875,,,0.02668992057442665,83.8946041005291,0.7455917000770569,0.3339419662952423,0.2021884322166443,0.08455126732587814,-0.37618133425712585,0.009908025152981281,9272.883213543044,32.189066510512966,1.41484755272088,44.6599998474121,17.7800006866455,37.569999694824205,4.11718573134389,66.333786040328,9.75059596799923,23.915617991672804,13.06,49.99100000000001,0.728,
ALB,Albania,2009,2.973048,,2.8975446224212646,28777.4296875,,,0.026831232011318207,94.9781198203843,0.6947593092918396,0.32697245478630066,0.2078104466199875,0.06648571044206619,-0.31803444027900696,0.022006556391716003,9679.436621103998,30.291551738897,1.47565225025013,44.0499992370605,19.9400005340576,36.0099983215332,2.42264589808883,66.6470907970541,10.1923346007195,23.1605746022264,13.67,51.076,0.733,
ALB,Albania,2010,2.948023,,2.9040780067443848,29844.1796875,,,0.026941372081637383,103.9364433527,0.6650428175926208,0.2697114646434784,0.2119705229997635,0.08571097999811172,-0.2926415503025055,0.06020573154091835,10123.455511541124,30.21748329194349,1.57225093811545,42.0800018310547,20.590000152587898,37.319999694824205,4.49310668166341,66.89951197802729,10.645405412373,22.4550826095997,14.09,52.163000000000004,0.745,
ALB,Albania,2011,2.928592,,2.910693407058716,30603.84375,,,0.027015889063477516,100.89495472583,0.6920485496520996,0.2650536298751831,0.20504194498062134,0.10384177416563034,-0.326562762260437,0.06057686731219292,10450.019582789271,30.840678597122857,1.7348233079018798,45.3899993896484,18.8700008392334,35.75,2.31478550447697,67.51370624518539,11.0149860410737,21.4713077137409,13.48,53.247,0.764,
ALB,Albania,2012,2.914096,,2.917346239089966,31037.572265625,,,0.02714390866458416,108.184644599242,0.6889873743057251,0.244321808218956,0.19365286827087402,0.10498028993606567,-0.2969004511833191,0.0649581253528595,10650.840694893031,31.886252206488123,1.57909199452076,46.0,17.2800006866455,36.72999954223629,1.04242472953734,68.0118980294403,11.387510912475099,20.600591058084603,13.38,54.33,0.775,
ALB,Albania,2013,2.90379,,2.924036979675293,31348.564453125,,,0.027328109368681908,105.668673352632,0.7241597771644592,0.24295298755168915,0.20135925710201263,0.12565898895263672,-0.30257296562194824,0.008441952057182789,10795.740894873597,30.39329057940542,1.6545242776395401,44.2000007629395,16.879999160766598,38.9199981689453,0.28875164522925395,68.3729539670568,11.7707892099635,19.8562568229796,15.87,55.387,0.782,
ALB,Albania,2014,2.896305,,2.9307658672332764,31904.841796875,,,0.02750266157090664,105.47923411584,0.7121391296386719,0.2399267554283142,0.20286697149276733,0.11537615209817886,-0.3027811348438263,0.03247208520770073,11015.705112850685,30.58056676758075,1.80678854066866,42.2599983215332,17.7399997711182,40.0,1.5498786194348402,68.59902530983439,12.180692295873499,19.220282394292,18.06,56.423,0.787,
ALB,Albania,2015,2.890513,,2.937533378601074,32612.73046875,,,0.027552885934710503,125.96083044733,0.6993638873100281,0.22481924295425415,0.19791436195373535,0.09869512915611267,-0.2544870674610138,0.03369436413049698,11282.679049964489,32.04951152444138,1.75998705871449,41.279998779296896,18.6700000762939,40.0499992370605,0.563958924921181,68.7047247322534,12.6265476059094,18.6687276618372,17.19,57.434,0.788,
ALB,Albania,2016,2.886438,,2.9443392753601074,33693.83984375,,,0.02758934162557125,124.14087146638,0.6924840807914734,0.22487075626850128,0.20333737134933472,0.10009004920721054,-0.27447497844696045,0.053692735731601715,11673.155579212164,34.25704393698214,1.71412617289866,40.040000915527294,19.3799991607666,40.5800018310547,-0.632442858667801,68.66009247383799,12.956211080924001,18.383696445237998,15.42,58.42100000000001,0.788,
ALB,Albania,2017,2.884169,,2.9511842727661133,34974.9453125,,,0.027664778754115105,119.099666666667,0.6948405504226685,0.22570940852165222,0.20341749489307404,0.10618778318166733,-0.2984137237071991,0.06825845688581467,12126.524247538893,35.88950337869277,1.94887203810602,38.0800018310547,19.3799991607666,42.540000915527294,1.45111572468173,68.6426142157412,13.329073296329,18.028312487929803,13.62,59.383,0.79,
ALB,Albania,2018,2.88274,,2.958068370819092,36398.8828125,,,0.02773219533264637,107.989166666667,0.7087751030921936,0.22375193238258362,0.2037910372018814,0.1241588294506073,-0.32002517580986023,0.05954829603433609,12626.488275911111,37.15435726163892,1.9397315634794599,37.290000915527294,19.75,42.970001220703104,1.35940039453163,68.5823903647225,13.7447359109736,17.672873724303997,12.3,60.318999999999996,0.792,
ALB,Albania,2019,2.8809169999999997,,2.964992046356201,37204.7734375,,,0.027731988579034805,109.850833333333,0.7143118977546692,0.20582780241966248,0.20607128739356995,0.12659360468387604,-0.3139492869377136,0.06114468351006508,12914.212189209202,37.345667842358296,,36.4199981689453,20.1499996185303,43.4300003051758,0.477277009414109,68.3978052821376,14.202630620736402,17.399564097126,11.47,61.229,0.795,
AUT,Austria,1990,7.723948999999999,1826.0297782391108,2.9651498794555664,276407.03125,0.6329604387283325,0.061710625886917114,0.036559220403432846,0.8262780123495369,0.5861135125160217,0.3256728947162628,0.1353268027305603,0.3746381103992462,-0.4650042653083801,0.04325294494628906,35785.71417936603,46.09483255501577,7.58936421003276,,,,2.9996806093062203,68.1482101966235,14.921473458719099,16.9303163446574,,62.96,0.803,
AUT,Austria,1991,7.772701,1836.444171343395,2.9799985885620117,285919.9375,0.6329604387283325,0.06154555827379227,0.03690115362405777,0.848521955674416,0.578208327293396,0.33477339148521423,0.132426917552948,0.32407501339912415,-0.4203181266784668,0.050834476947784424,36785.14553692468,46.20047926788189,8.04911377864628,7.78000020980835,33.8400001525879,58.380001068115206,3.64187153111726,67.9672098540778,15.0803433709852,16.9524467749371,3.42,62.68899999999999,0.808,
AUT,Austria,1992,7.830933,1804.9313616325226,2.994921922683716,291905.75,0.6329604387283325,0.05950368195772171,0.037143271416425705,0.7986259989486664,0.5892468690872192,0.3343363404273987,0.13403211534023285,0.3699585497379303,-0.4692464768886566,0.041672565042972565,37275.98614366896,45.900386828442066,7.35520218898572,7.619999885559079,33.4300003051758,58.9500007629395,3.47909329454419,67.7016391278025,15.1732622409105,17.125098631287,3.59,62.417,0.813,
AUT,Austria,1993,7.892086,1802.2981319687885,3.0099196434020996,293443.5625,0.6329604387283325,0.05760540813207626,0.037147995084524155,0.8453436698327796,0.5907988548278809,0.3335614502429962,0.13653378188610077,0.3274099826812744,-0.42667219042778015,0.03836816921830177,37182.002641633655,45.277203756281196,7.31124250265602,7.40999984741211,32.830001831054695,59.7599983215332,2.7570846392899595,67.40492944450929,15.210997447316199,17.3840731081744,4.25,62.144,0.817,
AUT,Austria,1994,7.947209,1800.538069398797,3.0249929428100586,300492.40625,0.6329604387283325,0.05697207525372505,0.03706439957022667,0.8300563880632447,0.5843141674995422,0.33856064081192017,0.1351354569196701,0.3408171236515045,-0.436769038438797,0.03794165700674057,37811.06124804318,45.09407573945689,7.34490086966953,7.199999809265139,32.470001220703104,60.33000183105471,2.52494261860797,67.1791442756822,15.213114440553902,17.607741283763897,3.54,61.87,0.821,
AUT,Austria,1995,7.990120999999999,1774.4363878643928,3.0401413440704346,308509.5,0.6329604387283325,0.05670712888240814,0.03700307384133339,0.7326508748598018,0.5850216746330261,0.35069888830184937,0.13325728476047516,0.37829726934432983,-0.47096192836761475,0.023686790838837624,38611.36771270423,44.86733680501665,7.69726474086588,7.34000015258789,32.0999984741211,60.560001373290994,1.8139181927164298,67.0927636765451,15.189857575373399,17.7173787480815,4.35,61.596000000000004,0.825,
