countrycode,country,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
ALB,Albania,1990,0.020463542655704194,0.002503138728406874,0.13822013173661307,0.02601998926957909,0.5379047449817145,0.21490307683100635,0.1843809777132689,0.01694391451796405,0.9864511892056134,0.04152301860494351,0.030174353427309765,0.5102716025993733,0.06047583348189686,0.9965174863165793,0.023401818437064015,0.03973509201819975,0.049911788042065065,0.11929383009582045,0.009349041669840876,0.08999500388285192,0.06764573812366859,0.0,0.9916391524399052,0.426193724420191,0.0,0.10233918128654973
ALB,Albania,1991,0.020425208493653972,0.001521661339704318,0.168315223369232,0.03410736561713556,0.5158702382591817,0.04291035946108472,0.41157939187599796,0.02147064432627092,0.9503581852904509,0.1333287500008759,0.016696891396734928,0.5084001346609793,0.04133198650777544,0.9965174863165793,0.023401818437064015,0.03973509201819975,0.013345988760416594,0.14387836164423443,0.029562520423389728,0.08999500388285192,0.04721438705656755,0.008779540651206619,0.9976855309491613,0.426193724420191,0.0044146527518544865,0.04678362573099415
ALB,Albania,1992,0.020192226176255035,0.0013402922744331018,0.151001492016822,0.11104175307754825,0.5841491997675325,0.03206221382204062,0.4138769054636941,0.02513100397892379,0.8617847336075017,0.09225081384803993,0.014534960471368055,0.3986653123203949,0.022663458654373005,1.0,0.019691769403938797,0.038576156702706255,0.036497945811686076,0.24092994796928094,0.0549059948332631,0.08999500388285192,0.030434754206170922,0.018982613328029863,1.0,0.42919508867667117,0.013325109960560355,0.0
ALB,Albania,1993,0.019850020527815503,0.001564189141253886,0.13826901921973866,0.24476741674718305,0.6524281612758833,0.10668496579239656,0.2904830395751712,0.012248567530890212,0.905043224174783,0.051172877695203955,0.018229875436519674,0.3789399665347435,0.021071644536780634,0.9914678447967924,0.02482876456006844,0.04370859806215849,0.0525607227063312,0.3379815342943275,0.08024946924313647,0.10431029145826885,0.018387310710454408,0.030309562497085718,0.9981169610746415,0.4343792633015007,0.022251797510265736,0.00877192982456143
ALB,Albania,1994,0.019521364837677274,0.0017772457613494405,0.1327315140587091,0.325546457487548,0.5397240534140948,0.15432413993869326,0.31658626451585686,0.007239015768021394,0.9425811532342162,0.12332116327196466,0.021862104361498325,0.42056809242718823,0.0219183525683264,0.9820651442020093,0.02939497038030131,0.049999974737104214,0.03411617716372796,0.21154107458106833,0.029747094669056288,0.1186255790336858,0.009088602076810837,0.041994325091584794,0.9940571018705776,0.435743519781719,0.03125963676496846,0.026315789473684292
ALB,Albania,1995,0.019294634269848343,0.002147488678086263,0.12944225830033596,0.3189207321268746,0.5212159265202898,0.1530737500391895,0.3143842752681073,0.011658874770247112,0.9286752839695681,0.18643537361107523,0.027684856669567923,0.40370443159308794,0.02009608224388114,0.9695281215110675,0.03624427911065209,0.057947018403640194,0.03715000650295112,0.17834389875754028,0.015198468312687376,0.1329408666091027,0.0,0.053519075054080045,0.9899968362791766,0.435743519781719,0.0402999367016702,0.06432748538011701
ALB,Albania,1996,0.019198522059396254,0.0024341348025186185,0.12869951292214532,0.35952286749695245,0.5410867747937536,0.18241989667537534,0.3349770980561513,0.008938188431923011,0.9204936681209765,0.13985062189690883,0.032088370097004146,0.3882159047590952,0.02042876929632232,0.962214836133543,0.027682629589347085,0.07003310323467321,0.03243911942057028,0.16919439714665926,0.031057130979735944,0.14725615418451965,0.029321948953159982,0.0610148314199514,0.9635167045032124,0.435743519781719,0.04942138834336918,0.0906432748538013
ALB,Albania,1997,0.019205624478994147,0.0020617458160339984,0.12666148193820437,0.5123956398082459,0.4514501737770572,0.14174660513770548,0.6741587492293397,0.0027689319573857667,0.9433764761631483,0.05467859570897335,0.02662613607451037,0.3819407730839786,0.0154437904971484,0.9643043841976487,0.02482876456006844,0.069536434715815,0.025868662741133128,0.17973981264193759,0.015912082220935916,0.1615714417599366,0.05544114144859069,0.0677975703244667,0.9398352650258569,0.4351978171896317,0.05854283998506815,0.08771929824561409
ALB,Albania,1998,0.01927941672823841,0.0023322430545212524,0.12346944478250388,0.5182458313264,0.3978563899414197,0.16111895447875385,0.8217820908282927,0.01082461597962479,0.920908075678987,0.07715627400410907,0.030410122060450878,0.37461632426163016,0.018901568991402478,0.9502002336703391,0.027397262138133205,0.08162251954684802,0.03173124726157502,0.18752445261436423,0.013376268042011048,0.16172523527910376,0.07943031196791406,0.07435578586975544,0.9177939342931837,0.4351978171896317,0.06772921299076495,0.11695906432748537
ALB,Albania,1999,0.019360534191611684,0.0027620339118601556,0.1251266699460486,0.47371700038991016,0.3722958029552017,0.2069040149741903,0.7039594122808361,0.025317142605350156,0.8947293028761522,0.209356514135698,0.03646154572639238,0.3699968954361037,0.03138574298341966,0.9289569599825597,0.04023972281172128,0.09420527289673936,0.05654468122880913,0.17402263278881044,0.010774475153444905,0.16187902879827093,0.10444842002958055,0.08139825014875518,0.8946274146183656,0.4371077762619373,0.07694804667846078,0.14619883040935688
