countrycode,country,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
ALB,Albania,1990,0.020463542655704194,0.002503138728406874,0.16731651953085552,0.02601998926957909,0.43100244651559433,0.17964607818155298,0.1843809777132689,0.01694391451796405,0.9899449190953045,0.16074791343649966,0.030174353427309765,0.5102716025993733,0.06047583348189686,0.9965174863165793,0.023401818437064015,0.03973509201819969,0.049911788042065065,0.11929383009582042,0.004960053551358291,0.08999500388285192,0.06764573812366859,0.0,0.9916391524399052,0.426193724420191,0.0,0.10233918128654973
ALB,Albania,1991,0.020425208493653972,0.001521661339704318,0.1570746607285995,0.03410736561713556,0.4133470411789138,0.035870485914943184,0.41157939187599796,0.02147064432627092,0.9631589465130606,0.24113393535262484,0.016696891396734928,0.5084001346609793,0.04133198650777544,0.9965174863165793,0.023401818437064015,0.03973509201819969,0.013345988760416587,0.14387836164423445,0.015684140641511544,0.08999500388285192,0.04721438705656755,0.008779540651206619,0.9976855309491613,0.426193724420191,0.0044146527518544865,0.04678362573099415
ALB,Albania,1992,0.020192226176255035,0.0013402922744331018,0.14091718891061628,0.11104175307754825,0.6275886020922874,0.02680208704260368,0.4138769054636941,0.02513100397892379,0.8974252643326891,0.0,0.014534960471368055,0.3986653123203949,0.022663458654373005,1.0,0.019691769403938797,0.0385761567027062,0.036497945811686076,0.5093701600301228,0.07459785931556001,0.08999500388285192,0.030434754206170922,0.018982613328029918,1.0,0.42919508867667117,0.013325109960560355,0.0
ALB,Albania,1993,0.019850020527815503,0.001564189141253886,0.1290350263539311,0.24476741674718305,0.5227656686596722,0.08918223037173362,0.2904830395751712,0.012248567530890212,0.9295290134417424,0.16919742712722732,0.018229875436519674,0.3789399665347435,0.021071644536780634,0.9914678447967924,0.024828764560068495,0.04370859806215843,0.0525607227063312,0.3379815342943275,0.04257566486178811,0.10431029145826885,0.018387310710454408,0.030309562497085718,0.9981169610746415,0.4343792633015007,0.022251797510265736,0.00877192982456143
ALB,Albania,1994,0.019521364837677274,0.0017772457613494405,0.12386733131696165,0.325546457487548,0.43246018860215835,0.1290057216376132,0.31658626451585686,0.007239015768021394,0.9573873191938386,0.23237119174298754,0.021862104361498325,0.42056809242718823,0.0219183525683264,0.9820651442020094,0.02939497038030131,0.04999997473710416,0.03411617716372796,0.21154107458106838,0.01578206491814206,0.1186255790336858,0.009088602076809948,0.041994325091584794,0.9940571018705776,0.435743519781719,0.03125963676496846,0.026315789473684292
ALB,Albania,1995,0.019294634269848343,0.002147488678086263,0.12079774128253767,0.3189207321268746,0.4176303362052955,0.12796047070423403,0.3143842752681073,0.011658874770247112,0.9470672517998732,0.28763462920375016,0.027684856669567923,0.40370443159308794,0.020096082243881142,0.9695281215110675,0.03624427911065209,0.05794701840364014,0.03715000650295112,0.17834389875754028,0.008063416486070124,0.1329408666091027,0.0,0.053519075054080045,0.989996836279177,0.435743519781719,0.0402999367016702,0.06432748538011701
ALB,Albania,1996,0.019198522059396254,0.0024341348025186185,0.12010459852366123,0.35952286749695245,0.4335520849909363,0.15249208854178245,0.3349770980561513,0.008938188431923011,0.9409953676664841,0.2468445519905736,0.032088370097004146,0.3882159047590952,0.020428769296322324,0.9622148361335432,0.027682629589347085,0.07003310323467316,0.032439119420570275,0.16919439714665926,0.016477093401773314,0.14725615418451965,0.029321948953159982,0.0610148314199514,0.9635167045032124,0.435743519781719,0.04942138834336918,0.0906432748538013
ALB,Albania,1997,0.019205624478994147,0.0020617458160339984,0.11820267296429193,0.5123956398082459,0.3617297136585332,0.11849165718814858,0.6741587492293397,0.0027689319573857667,0.9579775581836019,0.17226706908532305,0.02662613607451037,0.3819407730839786,0.0154437904971484,0.9643043841976485,0.024828764560068495,0.06953643471581494,0.025868662741133128,0.17973981264193759,0.008442018200011045,0.1615714417599366,0.05544114144859069,0.06779757032446665,0.9398352650258569,0.4351978171896317,0.05854283998506815,0.08771929824561409
ALB,Albania,1998,0.01927941672823841,0.0023322430545212524,0.11522380900161372,0.5182458313264,0.3187870696928754,0.13468577890851388,0.8217820908282927,0.01082461597962479,0.941302915065776,0.19194875031134342,0.030410122060450878,0.37461632426163016,0.018901568991402478,0.9502002336703391,0.027397262138133205,0.08162251954684796,0.03173124726157502,0.18752445261436423,0.007096663823814849,0.16172523527910376,0.07943031196791406,0.07435578586975544,0.9177939342931837,0.4351978171896317,0.06772921299076495,0.11695906432748537
ALB,Albania,1999,0.019360534191611684,0.0027620339118601556,0.11677036002120661,0.47371700038991016,0.29830635144635925,0.17295934240792482,0.7039594122808361,0.025317142605350156,0.9218746654198953,0.3077046104188505,0.03646154572639238,0.3699968954361037,0.03138574298341965,0.9289569599825594,0.04023972281172128,0.0942052728967393,0.05654468122880913,0.17402263278881044,0.005716305011375104,0.16187902879827093,0.10444842002958055,0.08139825014875518,0.8946274146183656,0.4371077762619373,0.07694804667846078,0.14619883040935688
ALB,Albania,2000,0.019404728524965113,0.0030234839402512913,0.1203720152811068,0.4944244707447351,0.3041740443798836,0.25447580295714617,0.5878866144070589,0.014698004682087405,0.926294625038921,0.3104348017411921,0.04013422819305162,0.3752154082639339,0.03371345271652998,0.9078878485118329,0.05850457330938874,0.10364235369846886,0.07165806982314349,0.22352606339320757,0.0067725262490483315,0.1620328223174381,0.13325680213183322,0.0892372114637735,0.8681907252985631,0.4360163710777626,0.08623180173015454,0.16374269005847975
ALB,Albania,2001,0.01940784089705126,0.0033573182206311633,0.12468135604693903,0.4936518039404506,0.30000860407473506,0.32679524923257475,0.5630049885654733,0.018791491161272263,0.9077910250450529,0.32618631888870103,0.04496034274908723,0.38340908104927124,0.034568104582846385,0.881594999727689,0.08304794320150738,0.11440396809346842,0.07728161317026061,0.23334482544574775,0.006226605382902635,0.16218661583660526,0.16384369231310014,0.10387593189295785,0.8345267819398884,0.434924965893588,0.09749565838378271,0.1842105263157896
ALB,Albania,2002,0.019384096401114197,0.00355507568147935,0.1265533471701064,0.48219402695588665,0.3163262023059301,0.36815749319789454,0.5232442144199687,0.019353442758689002,0.8985648336522409,0.31190068813549343,0.04789857976375645,0.3875047170409185,0.0403787909827896,0.8615705958655927,0.1055936048514608,0.12036424294871417,0.07549129987328496,0.2464197498030357,0.006175951981780325,0.16234040935577243,0.19803209955094836,0.11972682845494265,0.7973521356145786,0.4368349249658936,0.11479720188921183,0.20175438596491224
ALB,Albania,2003,0.019328978384386825,0.0038070126229502246,0.12718171195668243,0.4192639166035841,0.33594793325634315,0.4065060008083804,0.45630116999164155,0.025185193939436693,0.8915447529723709,0.2932906738269867,0.051733877437695926,0.3946454624413831,0.04442104535695805,0.8460734797189697,0.11558220049577017,0.12930459207434675,0.07503793607711684,0.23882760914399076,0.006639263834428102,0.16013647002601242,0.23524837879345206,0.13656135103175188,0.7572573949392444,0.4368349249658936,0.13219612744063758,0.22222222222222188
ALB,Albania,2004,0.01924032641505229,0.004072212551906909,0.12800407846542855,0.35360920386764516,0.3347335815716742,0.4780942181695619,0.43152585994263254,0.03390212092341892,0.8768003414353953,0.2834509911662301,0.05590092275927221,0.40071925371077133,0.04656067821895391,0.8298798475509771,0.12756847716551462,0.13774833583835955,0.08136334604141118,0.23157399522873715,0.006030597973359038,0.15793253069625238,0.273587797991218,0.1539172153594504,0.7159408659791641,0.4343792633015007,0.1496924350380603,0.23684210526315796
ALB,Albania,2005,0.01911824851470144,0.004352630519535551,0.12702964059150873,0.34359820574174876,0.3371186794942557,0.5280850371206108,0.3685413135192938,0.035615104562957536,0.8697226278323714,0.2965666511182394,0.060452364942561766,0.40438589789496676,0.0443996034261216,0.8131638615786695,0.14269406796595369,0.14470194773132194,0.0850356890978552,0.2479304868792989,0.006074319151141711,0.15572859136649236,0.31191459543706834,0.17158828879936716,0.6743536341250237,0.4311050477489768,0.1672212033174818,0.26608187134502925
ALB,Albania,2006,0.01895764066316696,0.00466868443871067,0.12149966874648915,0.3375193597029769,0.3244817410142702,0.5840401791100999,0.32787435711544666,0.03927167110802991,0.8660590647245575,0.3081057820824858,0.06573984255818646,0.40877781039289185,0.04446105029679158,0.794358327542256,0.16324199415700313,0.1508278208643462,0.09517687524321511,0.25439909683566597,0.0058288357790176,0.15352465203673232,0.35108122076806225,0.19469915969068075,0.6273790596018994,0.4248294679399728,0.18481489296090114,0.2865497076023389
ALB,Albania,2007,0.01876169624872814,0.005007966940082629,0.1172953384257806,0.3111122749297053,0.35021351517018,0.5745791670559024,0.31999682984425515,0.047460421408237446,0.8412259889654773,0.32709668024546734,0.07161112974703501,0.4130011493265321,0.046678747066423,0.7812989510469992,0.17665527138322373,0.15546356212632162,0.10920381325607181,0.28623349201353754,0.00639844046266417,0.1513207127069723,0.3838775276881359,0.21845337633545125,0.5841447974451369,0.4193724420190996,0.20245727362731902,0.3128654970760234
ALB,Albania,2008,0.018550243984653995,0.00545871047163116,0.11835157002426894,0.28863484518174615,0.35626011045039646,0.5827191491346134,0.3021466014509875,0.04788313073573579,0.836720136080772,0.33216602842110715,0.07935159561167943,0.3953010807353987,0.04648098496629718,0.7658018349003763,0.2003424844882319,0.15662249744181522,0.09560533430256915,0.27109076025019335,0.0063170784352762615,0.15570686911802242,0.41172743605570794,0.24293995312683192,0.5436085449960556,0.33997271487039565,0.22013211497573582,0.33040935672514626
