country,countrycode,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
Albania,ALB,1990,0.020256977647448562,0.002500011094839927,0.15470754149175092,0.02568722927768009,0.35837521022735574,0.16521445974400517,0.16922025642168526,0.016801967579114195,0.688106959506754,0.14906455031688112,0.029728063088264457,0.4122895039234033,0.05871770690995619,0.6914044059684232,0.02313219424584917,0.03896596149356307,0.04870614925176818,0.11269797760969451,0.00494779301098666,0.0861731126368338,0.0654559796347252,0.0,0.6889579943795165,0.35500916439216995,0.0,0.09743445038540563
Albania,ALB,1991,0.020219411501784676,0.001520504786194464,0.14589497571351898,0.033538605915401,0.3459606794760669,0.03524212242682577,0.3447092135880104,0.021243397051803958,0.6745548832405089,0.21602542574353,0.01655903075199548,0.4110495756761125,0.040500649942080615,0.6914044059684232,0.02313219424584917,0.03896596149356307,0.013257715580340721,0.13442456007040426,0.015562415626107171,0.0861731126368338,0.046133674114068296,0.008741224585837863,0.6919892759216175,0.35500916439216995,0.0044049367570617465,0.04572224933809515
Albania,ALB,1992,0.01999106657592751,0.001339394884496354,0.1318324906041753,0.10529809147927123,0.4870995342284514,0.026449202582517414,0.34633550955743575,0.02482041318345345,0.6404978431260492,0.0,0.0144303404798873,0.33551843355307587,0.022410457922957466,0.6931471805599453,0.019500394769646996,0.0378506950133068,0.035847671040972216,0.4116924512483576,0.07194650723499964,0.0861731126368338,0.029980804648303837,0.01880469161026221,0.6931471805599453,0.35711141074690533,0.013237111546592814,0.0
Albania,ALB,1993,0.019655577786710437,0.0015629670716184728,0.12136330891474334,0.2189486986071044,0.4205282003939938,0.08542716729927226,0.25501659756802225,0.012174160795410453,0.6572759386493899,0.15631755371133121,0.018065703478275307,0.3213150638060563,0.020852707667558597,0.6888719772861585,0.02452553966868126,0.04278032986891738,0.05122597869291464,0.2911621606349634,0.04169425226015803,0.09922096946813529,0.018220308158348908,0.029859303200283835,0.692205217589414,0.36073218649869615,0.022007838647242053,0.008733679968754631
Albania,ALB,1994,0.01933326700472944,0.0017756683288149713,0.11677571186894445,0.281824795161445,0.35939337766884333,0.12133735303565159,0.2750422234557167,0.0072129398603580685,0.6716105835957488,0.20894011173118657,0.021626555438775435,0.35105685669803793,0.021681598735281724,0.6841393032798728,0.02897122225246229,0.04879014010953096,0.0335471267995416,0.19189316460485173,0.01565882311389935,0.11210077015059665,0.00904754928711702,0.04113649714704032,0.6901713079754462,0.3616828472794862,0.030781003364879454,0.025975486403260736
Albania,ALB,1995,0.019110853045978052,0.0021451861201638002,0.11404070076608999,0.2768137749822591,0.34898670033306106,0.1204111087599021,0.2733683242397387,0.011591433774396585,0.6663242670364004,0.25280691446091696,0.02730856037400185,0.33911476463308265,0.019896821138115334,0.6777939818295866,0.0356029066903932,0.056330255058993216,0.03647657308003724,0.16410997705398248,0.00803108085085085,0.12481678881189558,0.0,0.0521360604618145,0.6881330489256782,0.3616828472794862,0.039509072248483774,0.062343130574135555
Albania,ALB,1996,0.019016555736001913,0.002431177095066979,0.11342207248526813,0.30713380546893415,0.36015533982208797,0.14192663125927635,0.288914136690945,0.008898479268945015,0.663200917613435,0.22061600134174988,0.03158429333229456,0.32801940096698884,0.020222901024021057,0.6740738536876566,0.027306393286864652,0.06768958559775537,0.03192407987301312,0.15631496220332422,0.01634281905790414,0.13737313857087363,0.028900283478426672,0.05922583825228929,0.6747371025134703,0.3616828472794862,0.04823895356017217,0.08676768258121051
Albania,ALB,1997,0.019023524343880757,0.0020596233349726456,0.1117226400245531,0.41369491006846826,0.3087557399123986,0.11198104299143948,0.5153107998465788,0.0027651055270827753,0.6719120824407964,0.15893953984151737,0.026277829688599715,0.3234888684821132,0.015325748952580346,0.6751381796945372,0.02452553966868126,0.0672253160155148,0.025539729530486666,0.16529391640329816,0.008406583650771151,0.1497737795244095,0.053958823083543155,0.0655981816781635,0.6626030545346343,0.3613026914110037,0.05689328312624907,0.08408311721054144
Albania,ALB,1998,0.019095923451830844,0.0023295275969404043,0.10905511033138725,0.41755561008217834,0.27671242756688474,0.126355765827583,0.5998151927984726,0.010766449202948388,0.6633593533530603,0.17558957301361036,0.029956899747935167,0.31817465527986244,0.01872515388444516,0.6679320512375284,0.02702867420236896,0.07846224667676985,0.03123821382419238,0.17187084838990768,0.0070716010101497815,0.1499061720172941,0.0764334130463076,0.07172121298784745,0.6511755328860469,0.3613026914110037,0.06553416250101322,0.11060987154397002
Albania,ALB,1999,0.01917550343198328,0.0027582265053742792,0.11044091257815195,0.38778778102581185,0.26106060849746765,0.15952990786680984,0.5329546090394287,0.025001972153620787,0.6533010979222695,0.2682733945177809,0.03581255208621596,0.31480847373243215,0.03090327956402301,0.6569794215868353,0.03945118929519288,0.09002832158748475,0.05500384892490875,0.16043599957511406,0.0057000289364325255,0.15003854698472666,0.09934604295015335,0.07825487982940663,0.6390222042260153,0.3626326051626375,0.07413115808635394,0.13645110272785752
