algorithm,n_clusters,Silhouette,Calinski-Harabasz Index,Dunn Index
K-Means,2,0.2796943698273871,61.52688034047713,0.25743510329382163
K-Means,3,0.27350892810805993,53.81012318613105,0.28860555094090395
K-Means,4,0.22119215511998747,42.853133410619634,0.309202203771549
K-Means,5,0.2596254750055232,56.69121265247973,0.37761842980461696
K-Means,6,0.134759096996229,55.39875932443848,0.3701681946351281
K-Means,7,0.08231051324035893,65.64882901839567,0.2794799987113507
K-Means,8,0.07276857081315728,32.73593835200459,0.31598406934187845
Agglomerative average-linkage,2,0.313649962334198,3.8108747140372565,0.43086422950002723
Agglomerative average-linkage,3,0.31388876082818296,6.571529012083916,0.4147223393856659
Agglomerative average-linkage,4,0.260207883824813,7.94235231532564,0.4787050190529277
Agglomerative average-linkage,5,0.08888513344293947,5.819121819542605,0.4787050190529277
Agglomerative average-linkage,6,0.22626025362674232,25.231919932230408,0.35863996921878094
Agglomerative average-linkage,7,0.220574994478673,29.385687072226357,0.35863996921878094
Agglomerative average-linkage,8,0.266768795675864,38.85230948370342,0.42179806435144307
Agglomerative complete-linkage,2,0.2889901814200591,64.5799016597991,0.23707894746274355
Agglomerative complete-linkage,3,0.2889686012073188,52.83935650442651,0.29381815935707645
Agglomerative complete-linkage,4,0.3106248592831431,62.27443544385809,0.37968599109388945
Agglomerative complete-linkage,5,0.3097709735028686,56.63038770043571,0.39404387281166636
Agglomerative complete-linkage,6,0.2702789304073722,46.17297882880807,0.4154317195441548
Agglomerative complete-linkage,7,0.2529460271876139,55.85548987109228,0.4413022827952916
Agglomerative complete-linkage,8,0.22941442589262925,47.180832612678394,0.4446295186380171
Agglomerative single-linkage,2,0.37955978950940966,4.298157524675918,0.5113405300460941
Agglomerative single-linkage,3,0.3106789622411513,4.298447985900249,0.4720657222106301
Agglomerative single-linkage,4,0.04369099420394632,3.8754482136299426,0.44214143652016763
Agglomerative single-linkage,5,0.08888513344293947,5.819121819542605,0.4787050190529277
Agglomerative single-linkage,6,0.045140472141060095,4.533649270160365,0.4777804644662435
Agglomerative single-linkage,7,-0.05689112712168736,4.3435949383369,0.4381069596263613
Agglomerative single-linkage,8,-0.09819233541477176,4.199021400059534,0.42706444001096244
