,countrycode,country,currency_unit,year,rgdpe,rgdpo,pop,emp,avh,hc,ccon,cda,cgdpe,cgdpo,cn,ck,ctfp,cwtfp,rgdpna,rconna,rdana,rnna,rkna,rtfpna,rwtfpna,labsh,irr,delta,xr,pl_con,pl_da,pl_gdpo,i_cig,i_xm,i_xr,i_outlier,i_irr,cor_exp,statcap,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,pl_c,pl_i,pl_g,pl_x,pl_m,pl_n,pl_k
235,ALB,Albania,Lek,1975,8136.81103515625,8164.37109375,2.4117319999999998,0.8929092884063721,,1.7039167881011963,6405.75927734375,7800.15283203125,7545.45556640625,7567.76708984375,31313.830078125,,,,11058.7763671875,6933.8525390625,9974.240234375,57897.04296875,,,,,,0.03385504335165024,5.0,0.2731347680091858,0.345918208360672,0.3448983430862427,Extrapolated,Extrapolated,Market-based,Regular,,,,0.696093738079071,0.18425431847572327,0.15035927295684814,0.02064068242907524,-0.020946774631738663,-0.030401242896914482,0.28714442253112793,0.680280864238739,0.20827656984329224,0.484706312417984,0.5328465700149536,0.34353986382484436,
236,ALB,Albania,Lek,1976,8450.6943359375,8459.7861328125,2.4649829999999997,0.9188392758369446,,1.7390090227127075,6645.8720703125,8088.44140625,7811.70361328125,7818.52783203125,32858.25,,,,11504.4345703125,7197.9775390625,10395.205078125,60821.21875,,,,,,0.03318822383880615,5.0,0.2705234885215759,0.343810498714447,0.3435104191303253,Extrapolated,Extrapolated,Market-based,Regular,,,,0.6994933485984802,0.18450650572776794,0.150522381067276,0.015871504321694374,-0.013152668252587318,-0.0372411273419857,0.28422850370407104,0.6814413666725159,0.2068348526954651,0.48037824034690857,0.5322726964950562,0.33981800079345703,
237,ALB,Albania,Lek,1977,8808.267578125,8818.5849609375,2.518685,0.9452070593833923,,1.7734824419021606,6968.4775390625,8421.1875,8151.57470703125,8156.3125,34542.078125,,,,11944.9521484375,7515.8798828125,10763.7744140625,63838.5625,,,,,,0.032635316252708435,5.0,0.26595503091812134,0.33867645263671875,0.3384796977043152,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7027357816696167,0.17810864746570587,0.15163038671016693,0.020992370322346687,-0.0175451822578907,-0.03592199087142944,0.27939602732658386,0.6875125169754028,0.20366233587265015,0.488598495721817,0.5296707153320312,0.33874785900115967,
238,ALB,Albania,Lek,1978,9165.2978515625,9209.2919921875,2.57285,0.9720205664634705,,1.8086391687393188,7217.19970703125,8740.1708984375,8462.8896484375,8501.0859375,36206.109375,,,,12458.7861328125,7800.70361328125,11226.212890625,66962.671875,,,,,,0.032171402126550674,5.0,0.26396793127059937,0.3358517289161682,0.33434268832206726,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7000960111618042,0.17915022373199463,0.14887787401676178,0.016409555450081825,-0.01921534165740013,-0.02531830593943596,0.2768685817718506,0.6765013933181763,0.2033027857542038,0.4803115427494049,0.5397387146949768,0.33296769857406616,
239,ALB,Albania,Lek,1979,9463.03515625,9454.9375,2.6275049999999998,0.9992935061454773,,1.844492793083191,7447.751953125,9088.14453125,8734.9169921875,8729.451171875,38115.2734375,,,,12952.166015625,8052.09228515625,11766.76953125,70332.8671875,,,,,,0.031820595264434814,6.16712328767123,0.21234525740146637,0.2715888023376465,0.2717588543891907,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7054529190063477,0.18791472911834717,0.14772236347198486,0.05157885327935219,-0.036466341465711594,-0.05620257183909416,0.22208824753761292,0.5405678749084473,0.1658172756433487,0.3683467507362366,0.40352004766464233,0.26568517088890076,
240,ALB,Albania,Lek,1980,9974.7744140625,9964.9619140625,2.68269,1.0270450115203857,,1.8810572624206543,7980.79150390625,9521.9482421875,9280.4541015625,9260.6845703125,39936.03515625,,,,13370.6904296875,8554.9619140625,11944.708984375,73616.3515625,,,,,,0.031486671417951584,7.0,0.18168623745441437,0.2307901233434677,0.2312828153371811,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7101844549179077,0.16641926765441895,0.1516083925962448,0.08363091200590134,-0.06280086189508438,-0.04904218390583992,0.19017082452774048,0.4850717782974243,0.141941636800766,0.3096221387386322,0.3275393545627594,0.2403372973203659,
241,ALB,Albania,Lek,1981,10320.9287109375,10363.2509765625,2.7370259999999997,1.0632309913635254,,1.9506222009658813,8146.2646484375,9927.9921875,9621.7041015625,9632.572265625,42014.67578125,,,,14138.9140625,8721.6591796875,12732.619140625,77063.234375,,,,,,0.03119368851184845,7.0,0.18145038187503815,0.230258047580719,0.22999826073646545,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7003946900367737,0.1849689930677414,0.1453051120042801,0.07963843643665314,-0.05491951107978821,-0.05538778752088547,0.19006392359733582,0.45341235399246216,0.13993173837661743,0.30597439408302307,0.34504616260528564,0.22273632884025574,
242,ALB,Albania,Lek,1982,10414.697265625,10391.9833984375,2.790275,1.1124681234359741,,2.0227599143981934,8295.900390625,10357.486328125,9739.4140625,9687.8369140625,44387.7890625,,,,14555.8203125,8855.1923828125,13532.7763671875,81254.484375,,,,,,0.03111003153026104,7.0,0.18026115000247955,0.2341439425945282,0.23539049923419952,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7066864967346191,0.2128015160560608,0.14963474869728088,0.07782626897096634,-0.0831354632973671,-0.06381353735923767,0.18879954516887665,0.450970321893692,0.13993650674819946,0.3294953405857086,0.3074548542499542,0.22272519767284393,
243,ALB,Albania,Lek,1983,10800.65234375,10741.69140625,2.844871,1.1442642211914062,,2.097565174102783,8761.8427734375,10597.8017578125,10090.5107421875,10018.0595703125,46400.0703125,,,,14716.654296875,9339.6513671875,13485.494140625,85338.6484375,,,,,,0.03106057271361351,7.0,0.17912082374095917,0.2284705489873886,0.23012284934520721,Extrapolated,Extrapolated,Market-based,Regular,,,,0.7264474630355835,0.18326495587825775,0.14815732836723328,0.06343592703342438,-0.049708444625139236,-0.07159727066755295,0.18685531616210938,0.46398475766181946,0.14119695127010345,0.3353223502635956,0.3292105495929718,0.22722682356834412,
244,ALB,Albania,Lek,1984,10967.8076171875,10857.1044921875,2.90414,1.1691138744354248,,2.1751370429992676,9059.6435546875,10643.9970703125,10201.583984375,10085.029296875,48571.44921875,,,,14532.4599609375,9676.6015625,13197.306640625,89561.9609375,,,,,,0.030869020149111748,7.0,0.17954033613204956,0.22307676076889038,0.22565492987632751,Extrapolated,Benchmark,Market-based,Regular,,,,0.74435955286026,0.15709958970546722,0.15396638214588165,0.06333304941654205,-0.04154832661151886,-0.07721026241779327,0.1871233880519867,0.4720265567302704,0.1428796350955963,0.34219297766685486,0.3378056585788727,0.22871413826942444,
